Optimizer Setup,Precision,Validation Loss,Validation Accuracy,Training Time (s),Average Inference Time (ms)
Separate Optimizers,32-bit,1.385989785194397,0.44437503814697266,84.86265420913696,3.9794564247131348
Separate Optimizers,16-mixed-bit,1.6982351541519165,0.3873343765735626,129.18921399116516,3.8715744018554688
Single Optimizer,32-bit,1.3297947645187378,0.45207783579826355,99.51386737823486,3.8579893112182617
Single Optimizer,16-mixed-bit,1.3136242628097534,0.4553247392177582,121.18258666992188,4.058902263641357
